,Name,Year,Selling_price,Present_price,Km_driven,Fuel_type,Seller_type,Transmission,Owner_type
1046,Maruti Ertiga,2012,156000,2343607.0,110000,Diesel,Individual,Manual,2
1047,Ford Ecosport,2013,101000,2261107.0,60000,Diesel,Individual,Manual,2
1048,Skoda Laura,2010,1000,2111107.0,130000,Diesel,Individual,Automatic,2
1049,Hyundai EON,2017,-119000,1931107.0,28838,Petrol,Individual,Manual,1
1050,Tata Indica,2008,-319000,1631107.0,200000,Petrol,Individual,Manual,1
1051,Tata Indica,2006,-344000,1593607.0,100000,Diesel,Individual,Manual,1
1052,Maruti Alto,2014,-149000,1886107.0,50000,Petrol,Individual,Manual,1
1053,Mahindra Bolero,2010,149000,1886107.0,190000,Diesel,Individual,Manual,3
1054,Mahindra Jeep,2007,-304000,1653607.0,100000,Diesel,Individual,Manual,2
1055,Mahindra Scorpio,2014,326000,2598607.0,135000,Diesel,Individual,Manual,2
1056,Mahindra Bolero,2015,79000,1991107.0,50000,Diesel,Individual,Manual,3
1057,Skoda Octavia,2014,801000,3311107.0,135000,Diesel,Individual,Automatic,3
1058,Chevrolet Beat,2012,-239000,1751107.0,50000,Diesel,Individual,Manual,1
1059,Honda Jazz,2018,391000,2696107.0,19571,Diesel,Dealer,Manual,1
1060,Honda City,2018,801000,3311107.0,29600,Petrol,Dealer,Manual,1
1061,Maruti Swift,2011,-224000,1773607.0,70000,Petrol,Individual,Manual,1
1062,Maruti Vitara,2018,551000,2936107.0,15000,Diesel,Individual,Automatic,1
1063,Maruti Celerio,2019,-59000,2021107.0,50000,Petrol,Individual,Manual,1
1064,Renault Captur,2017,426000,2748607.0,13500,Diesel,Individual,Manual,1
1065,Audi A4,2018,2701000,6161107.0,22000,Petrol,Individual,Automatic,1
1066,Honda Amaze,2018,381000,2681107.0,25000,Diesel,Dealer,Manual,1
1067,Toyota Corolla,2010,49000,2036107.0,80000,Petrol,Individual,Automatic,3
1068,Honda Amaze,2018,291000,2546107.0,39000,Petrol,Dealer,Manual,1
1069,Maruti Alto,2016,-154000,1878607.0,60000,Petrol,Individual,Manual,1
1070,Honda Amaze,2018,391000,2696107.0,49000,Diesel,Dealer,Manual,1
1071,Honda Amaze,2018,281000,2531107.0,48600,Petrol,Dealer,Manual,1
1072,Hyundai Grand,2017,141000,2321107.0,20000,Petrol,Individual,Manual,2
1073,Mahindra KUV,2016,26000,2148607.0,25000,Petrol,Individual,Manual,1
1074,Maruti Zen,2008,-259000,1721107.0,120000,Petrol,Individual,Manual,1
1075,Maruti Ertiga,2019,701000,3161107.0,30000,Diesel,Individual,Manual,1
1076,Renault Lodgy,2015,316000,2583607.0,35000,Diesel,Individual,Manual,1
1077,Audi A4,2013,1181000,3881107.0,86000,Diesel,Dealer,Automatic,1
1078,Audi Q3,2015,1351000,4136107.0,127643,Diesel,Dealer,Automatic,1
1079,Tata Zest,2018,1000,2111107.0,54000,Petrol,Dealer,Manual,2
1080,Audi A6,2014,1351000,4136107.0,102354,Diesel,Dealer,Automatic,1
1081,Audi Q5,2014,1451000,4286107.0,62237,Petrol,Dealer,Automatic,1
1082,Hyundai Santro,2005,-284001,1683605.5,90000,Petrol,Dealer,Manual,2
1083,Ford EcoSport,2018,551000,2936107.0,21394,Diesel,Dealer,Manual,1
1084,Datsun GO,2015,-89000,1976107.0,32686,Petrol,Dealer,Manual,1
1085,Mahindra Jeep,2006,176000,2373607.0,1001,Diesel,Dealer,Manual,1
1086,Renault Pulse,2017,91000,2246107.0,22000,Diesel,Dealer,Manual,1
1087,Hyundai Grand,2017,81000,2231107.0,53261,Petrol,Dealer,Manual,1
1088,Land Rover,2016,3101000,6761107.0,53000,Diesel,Dealer,Automatic,1
1089,Renault KWID,2018,-29000,2066107.0,10000,Petrol,Dealer,Manual,1
1090,Maruti Baleno,2017,436000,2763607.0,14000,Diesel,Dealer,Manual,1
1091,Volkswagen Polo,2017,251000,2486107.0,44000,Petrol,Dealer,Manual,1
1092,Toyota Etios,2014,271000,2516107.0,39895,Diesel,Dealer,Manual,1
1093,Chevrolet Cruze,2017,551000,2936107.0,73000,Diesel,Dealer,Automatic,1
1094,Honda City,2014,291000,2546107.0,17000,Petrol,Dealer,Manual,1
1095,Volkswagen Polo,2017,271000,2516107.0,18591,Petrol,Dealer,Manual,1
1096,Tata Nexon,2017,526000,2898607.0,26766,Diesel,Dealer,Manual,1
1097,Hyundai EON,2015,-149000,1886107.0,30000,Petrol,Individual,Manual,1
1098,Tata Sumo,2016,110999,2276105.5,42000,Diesel,Individual,Manual,1
1099,Honda City,2014,121000,2291107.0,110000,Diesel,Individual,Manual,1
1100,Tata Indica,2005,-299000,1661107.0,100000,Diesel,Individual,Manual,1
1101,Tata Indica,2006,-314000,1638607.0,300000,Diesel,Individual,Manual,2
1102,Tata Indigo,2009,269000,1706107.0,110000,Diesel,Individual,Manual,3
1103,Ford EcoSport,2018,551000,2936107.0,27620,Diesel,Dealer,Manual,1
1104,Ford Figo,2015,51000,2186107.0,70000,Petrol,Individual,Manual,1
1105,Honda City,2012,-79000,1991107.0,50000,Petrol,Individual,Manual,2
1106,Maruti Swift,2015,81000,2231107.0,50000,Diesel,Individual,Manual,1
1107,Mercedes-Benz New,2014,2091000,5246107.0,46000,Diesel,Individual,Automatic,1
1108,Toyota Innova,2012,391000,2696107.0,82000,Diesel,Individual,Manual,1
1109,Maruti Omni,2016,-279000,1691107.0,120000,Petrol,Individual,Manual,1
1110,Maruti Alto,2006,324000,1623607.0,80000,Petrol,Individual,Manual,3
1111,Tata Indica,2010,-300000,1659607.0,70000,Petrol,Individual,Manual,1
1112,Maruti S-Cross,2018,616000,3033607.0,20000,Diesel,Individual,Manual,1
1113,Mahindra Xylo,2013,-149000,1886107.0,200000,Diesel,Individual,Manual,2
1114,Toyota Innova,2011,121000,2291107.0,120000,Diesel,Individual,Manual,1
1115,Hyundai Verna,2018,701000,3161107.0,30000,Diesel,Individual,Automatic,1
1116,Toyota Innova,2005,-199000,1811107.0,223000,Diesel,Individual,Manual,1
1117,Maruti Swift,2016,126000,2298607.0,60000,Diesel,Individual,Manual,1
1118,Hyundai i20,2016,101000,2261107.0,40000,Petrol,Individual,Manual,1
1119,Mahindra Scorpio,2016,276000,2523607.0,161327,Diesel,Individual,Manual,1
1120,Hyundai i10,2009,249000,1736107.0,60000,Petrol,Individual,Manual,3
1121,Mahindra Bolero,2007,-149000,1886107.0,50000,Diesel,Individual,Manual,1
1122,Hyundai Grand,2018,51000,2186107.0,6000,Petrol,Individual,Manual,1
1123,Hyundai Santro,2009,-249000,1736107.0,68000,Petrol,Individual,Manual,2
1124,Chevrolet Beat,2012,-199000,1811107.0,85000,Diesel,Individual,Manual,1
1125,Mahindra Scorpio,2011,126000,2298607.0,70000,Diesel,Individual,Automatic,1
1126,Maruti Esteem,1999,-339000,1601107.0,35000,Petrol,Individual,Manual,2
1127,Maruti Swift,2010,-219000,1781107.0,100000,Diesel,Individual,Manual,2
1128,Honda Amaze,2015,76000,2223607.0,110000,Diesel,Individual,Manual,1
1129,Mahindra Scorpio,2010,-19000,2081107.0,195000,Diesel,Individual,Automatic,2
1130,Maruti Alto,2015,-114000,1938607.0,46000,Petrol,Individual,Manual,2
1131,Maruti Alto,2008,-307800,1647907.0,60000,Petrol,Individual,Manual,2
1132,Datsun RediGO,2017,-149000,1886107.0,46000,Petrol,Individual,Manual,1
1133,Hyundai Grand,2015,1000,2111107.0,42000,Diesel,Individual,Manual,1
1134,Hyundai Santro,2006,-239000,1751107.0,90000,Petrol,Individual,Automatic,2
1135,Skoda Yeti,2012,251000,2486107.0,85000,Diesel,Individual,Manual,2
1136,Hyundai Verna,2012,10999,2126105.5,120000,Diesel,Individual,Manual,3
1137,Ford Ecosport,2013,26000,2148607.0,72000,Diesel,Individual,Manual,1
1138,Maruti Wagon,2013,149000,1886107.0,71000,CNG,Individual,Manual,2
1139,Maruti Swift,2009,199000,1811107.0,110000,Petrol,Individual,Manual,3
1140,Maruti Wagon,2013,49000,1886107.0,71000,CNG,Individual,Manual,2
1141,Volkswagen Polo,2010,-269000,1706107.0,144000,Diesel,Individual,Manual,3
1142,Maruti Eeco,2017,-139000,1901107.0,30000,Petrol,Dealer,Manual,1
1143,Hyundai Verna,2007,-244000,1743607.0,65000,Petrol,Dealer,Manual,1
1144,Honda Jazz,2015,51000,2186107.0,38000,Diesel,Individual,Manual,1
1145,Maruti SX4,2012,-179000,1841107.0,90000,Petrol,Individual,Manual,2
1146,Hyundai i20,2018,251000,2486107.0,37000,Diesel,Dealer,Manual,1
1147,Maruti Alto,2018,-114000,1938607.0,30000,Petrol,Dealer,Manual,1
1148,Honda Amaze,2018,326000,2598607.0,26000,Petrol,Dealer,Automatic,1
1149,Maruti Ciaz,2016,226000,2448607.0,30000,Petrol,Dealer,Manual,1
1150,Hyundai i20,2016,151000,2336107.0,23000,Petrol,Dealer,Manual,1
1151,Hyundai i10,2012,-159000,1871107.0,40000,Petrol,Dealer,Manual,1
1152,Nissan Terrano,2014,201000,2411107.0,27000,Diesel,Dealer,Manual,1
1153,Tata New,2012,-49000,2036107.0,65000,Diesel,Dealer,Manual,1
1154,Hyundai EON,2015,-154000,1878607.0,32000,Petrol,Dealer,Manual,1
1155,Mahindra Bolero,2016,201000,2411107.0,56000,Diesel,Dealer,Manual,1
1156,BMW X1,2017,2001000,5111107.0,30000,Diesel,Individual,Automatic,1
1157,Mahindra Scorpio,2014,221000,2441107.0,80000,Diesel,Dealer,Manual,1
1158,Maruti Swift,2014,-4000,2103607.0,52000,Petrol,Dealer,Manual,2
1159,Maruti Ertiga,2014,236000,2463607.0,13250,Petrol,Dealer,Manual,1
1160,Maruti Alto,2011,-219000,1781107.0,36000,Petrol,Dealer,Manual,1
1161,Maruti Swift,2015,85999,2238605.5,73000,Diesel,Dealer,Manual,2
1162,Maruti Alto,2004,-289000,1676107.0,60000,Petrol,Individual,Manual,1
1163,Maruti Wagon,2006,-249000,1736107.0,60000,Petrol,Individual,Manual,2
1164,Chevrolet Tavera,2012,1000,2111107.0,110000,Diesel,Individual,Manual,1
1165,Tata Indica,2012,-199000,1811107.0,70000,Diesel,Individual,Manual,2
1166,Renault Duster,2013,-97000,1964107.0,60000,Diesel,Individual,Manual,2
1167,Maruti Swift,2011,184000,1833607.0,90000,Diesel,Individual,Manual,3
1168,Maruti Wagon,2004,-244000,1743607.0,80000,Petrol,Individual,Manual,2
1169,Toyota Innova,2014,601000,3011107.0,101000,Diesel,Individual,Manual,2
1170,Mahindra Bolero,2018,151000,2336107.0,44000,Diesel,Individual,Manual,1
1171,Maruti Swift,2006,-199000,1811107.0,45000,Petrol,Individual,Manual,1
1172,Mahindra Scorpio,2017,351000,2636107.0,120000,Diesel,Individual,Manual,1
1173,Maruti Zen,2005,-309000,1646107.0,90000,Petrol,Individual,Manual,2
1174,Maruti Wagon,2007,-319000,1631107.0,120000,Petrol,Individual,Manual,2
1175,Hyundai EON,2013,-169001,1856105.5,13500,Petrol,Individual,Manual,1
1176,Renault KWID,2017,-49000,2036107.0,10000,Petrol,Individual,Manual,1
1177,Hyundai Grand,2015,74000,1998607.0,25000,Petrol,Individual,Manual,3
1178,Tata Tigor,2018,51000,2186107.0,8500,Petrol,Individual,Manual,1
1179,Maruti SX4,2012,-149000,1886107.0,120000,Diesel,Individual,Manual,1
1180,Volkswagen Polo,2012,-174000,1848607.0,120000,Diesel,Individual,Manual,1
1181,Maruti Alto,2009,249000,1736107.0,90246,Petrol,Individual,Manual,3
1182,Maruti Alto,2008,-289000,1676107.0,90000,Petrol,Individual,Manual,2
1183,Maruti Alto,2010,-249000,1736107.0,40000,Petrol,Individual,Manual,2
1184,Maruti Gypsy,2000,234000,1758607.0,60000,Petrol,Individual,Manual,3
1185,Renault Duster,2017,211000,2426107.0,32000,Diesel,Individual,Manual,2
1186,Tata Manza,2013,-229000,1766107.0,60400,Diesel,Individual,Manual,1
1187,Hyundai Verna,2008,-249000,1736107.0,70950,Diesel,Individual,Manual,2
1188,Hyundai i20,2013,-99000,1961107.0,90000,Diesel,Individual,Manual,1
1189,Hyundai Xcent,2015,-24000,2073607.0,72000,Diesel,Individual,Manual,1
1190,Maruti Swift,2013,-9000,2096107.0,90000,Diesel,Individual,Manual,1
1191,Hyundai i20,2017,201000,2411107.0,10000,Petrol,Individual,Manual,1
1192,Maruti Alto,2014,-194001,1818605.5,25000,Petrol,Individual,Manual,2
1193,Hyundai Verna,2009,-129000,1916107.0,80000,Diesel,Individual,Manual,2
1194,Hyundai Grand,2017,-24000,2073607.0,10000,Petrol,Individual,Manual,1
1195,Maruti Baleno,2020,301000,2561107.0,1100,Petrol,Individual,Manual,1
1196,Maruti Swift,2017,56000,2193607.0,40000,Petrol,Individual,Manual,1
1197,Hyundai i10,2017,-24000,2073607.0,10000,Petrol,Individual,Manual,1
1198,Hyundai Grand,2014,-58000,2022607.0,31491,Petrol,Individual,Manual,1
1199,Maruti Swift,2014,-199000,1811107.0,107143,Diesel,Individual,Manual,2
1200,Maruti Ignis,2017,51000,2186107.0,15000,Petrol,Individual,Automatic,1
1201,Hyundai Santro,2012,-229000,1766107.0,50000,Petrol,Individual,Manual,2
1202,Toyota Innova,2017,1501000,4361107.0,100000,Diesel,Individual,Manual,1
1203,Mahindra Bolero,2016,101000,2261107.0,60000,Diesel,Individual,Manual,1
1204,Maruti Vitara,2016,420999,2741105.5,85000,Diesel,Individual,Manual,1
1205,Maruti Swift,2014,-48000,2037607.0,40000,Petrol,Individual,Manual,2
1206,Hyundai i10,2011,-204000,1803607.0,80000,Petrol,Individual,Manual,2
1207,Maruti Swift,2008,-149000,1886107.0,82000,Diesel,Individual,Manual,2
1208,Maruti Zen,2008,-279000,1691107.0,70000,Petrol,Individual,Manual,2
1209,Maruti A-Star,2009,219000,1781107.0,70000,Petrol,Individual,Manual,3
1210,Mahindra KUV,2016,31000,2156107.0,20000,Diesel,Individual,Manual,1
1211,Tata Nano,2012,-324000,1623607.0,35000,Petrol,Individual,Manual,2
1212,Mahindra Xylo,2017,351000,2636107.0,80000,Diesel,Individual,Manual,1
1213,Tata Nano,2011,-339000,1601107.0,40000,Petrol,Individual,Manual,1
1214,Toyota Innova,2015,1101000,3761107.0,46412,Diesel,Individual,Manual,1
1215,Mahindra Bolero,2011,9000,2096107.0,150000,Diesel,Individual,Manual,3
1216,Mahindra TUV,2016,231000,2456107.0,50000,Diesel,Individual,Manual,1
1217,Tata Safari,2018,686000,3138607.0,15000,Diesel,Individual,Manual,1
1218,Hyundai i10,2012,-209000,1796107.0,60000,Petrol,Individual,Manual,2
1219,Maruti Baleno,2018,151000,2336107.0,25000,Petrol,Individual,Automatic,1
1220,Maruti Alto,2012,199000,1811107.0,90000,Petrol,Individual,Manual,3
1221,Chevrolet Spark,2011,-234000,1758607.0,60000,Petrol,Individual,Manual,1
1222,Ford Figo,2013,-139000,1901107.0,65000,Diesel,Individual,Manual,1
1223,Maruti Alto,2011,-248000,1737607.0,40000,Petrol,Individual,Manual,1
1224,Maruti Vitara,2018,381000,2681107.0,50000,Diesel,Individual,Manual,1
1225,Tata Indica,2012,224000,1773607.0,80000,Diesel,Individual,Manual,3
1226,Tata Indica,2010,-229000,1766107.0,107500,Diesel,Dealer,Manual,1
1227,Tata Indica,2013,-189000,1826107.0,135000,Diesel,Dealer,Manual,2
1228,Maruti Alto,2007,-309000,1646107.0,43826,Petrol,Dealer,Manual,2
1229,Hyundai i20,2016,136000,2313607.0,55838,Petrol,Dealer,Manual,1
1230,Maruti Swift,2007,-204000,1803607.0,112880,Diesel,Dealer,Manual,1
1231,Tata Indica,2011,259000,1721107.0,90000,Diesel,Individual,Manual,3
1232,Nissan Sunny,2012,-49000,2036107.0,40000,Petrol,Individual,Manual,1
1233,Hyundai Verna,2013,26000,2148607.0,66000,Petrol,Individual,Manual,1
1234,Renault KWID,2017,-99000,1961107.0,30300,Petrol,Individual,Manual,1
1235,Volkswagen Vento,2013,-59000,2021107.0,85000,Diesel,Individual,Manual,2
1236,Maruti Swift,2009,-149000,1886107.0,80659,Petrol,Dealer,Manual,1
1237,Chevrolet Aveo,2008,-229000,1766107.0,81324,Petrol,Dealer,Manual,1
1238,Honda Amaze,2013,-84000,1983607.0,127884,Diesel,Dealer,Manual,1
1239,Chevrolet Beat,2015,-199000,1811107.0,50000,Petrol,Individual,Manual,1
1240,Chevrolet Beat,2016,-99000,1961107.0,25000,Petrol,Individual,Manual,1
1241,Honda Amaze,2015,-99000,1961107.0,66755,Diesel,Dealer,Manual,1
1242,Honda City,2013,-19000,2081107.0,123084,Petrol,Dealer,Manual,1
1243,Maruti Swift,2009,-149000,1886107.0,806599,Petrol,Dealer,Manual,1
1244,Honda Amaze,2013,-89000,1976107.0,95851,Diesel,Dealer,Manual,1
1245,Maruti Wagon,2010,-139000,1901107.0,50000,Petrol,Individual,Manual,1
1246,Maruti Omni,2008,-249000,1736107.0,50000,Petrol,Individual,Manual,2
1247,Maruti Esteem,2006,-314000,1638607.0,60000,Petrol,Individual,Manual,2
1248,Maruti Alto,2015,-119000,1931107.0,15000,Petrol,Individual,Manual,2
1249,Mahindra Xylo,2016,451000,2786107.0,40000,Diesel,Individual,Manual,1
1250,Datsun GO,2017,-24000,2073607.0,20000,Petrol,Individual,Manual,2
1251,Hyundai Elantra,2006,274000,1698607.0,120000,Diesel,Individual,Manual,3
1252,Chevrolet Beat,2012,-149000,1886107.0,110000,Diesel,Individual,Manual,1
1253,Toyota Corolla,2014,316000,2583607.0,234000,Diesel,Individual,Manual,1
1254,Hyundai i20,2011,-179000,1841107.0,70000,Diesel,Individual,Manual,1
1255,Tata Indica,2010,-289000,1676107.0,110000,Diesel,Individual,Manual,2
1256,Hyundai Verna,2007,-249000,1736107.0,84000,Petrol,Individual,Manual,2
1257,Nissan Sunny,2012,-99000,1961107.0,170000,Diesel,Individual,Manual,1
1258,Datsun RediGO,2017,-179000,1841107.0,40000,Petrol,Individual,Manual,1
1259,Maruti Wagon,2006,-324000,1623607.0,96000,Petrol,Individual,Manual,2
1260,Tata Indigo,2009,-299000,1661107.0,20000,Diesel,Individual,Manual,1
1261,Ford Figo,2016,-19000,2081107.0,15000,Petrol,Individual,Manual,1
1262,Hyundai Santro,2007,-299000,1661107.0,50000,Petrol,Individual,Manual,1
1263,Volkswagen Passat,2010,81000,2231107.0,80000,Petrol,Individual,Manual,2
1264,Toyota Etios,2012,-99000,1961107.0,124000,Diesel,Individual,Manual,1
1265,Chevrolet Beat,2013,-209000,1796107.0,70000,Diesel,Individual,Manual,1
1266,Ford Figo,2012,-209000,1796107.0,130000,Diesel,Individual,Manual,2
1267,Ford EcoSport,2017,251000,2486107.0,19014,Petrol,Dealer,Manual,1
1268,Toyota Corolla,2009,-99000,1961107.0,23262,Petrol,Dealer,Manual,1
1269,Ford Freestyle,2016,301000,2561107.0,29600,Diesel,Dealer,Manual,1
1270,Hyundai i10,2015,-89000,1976107.0,35925,Petrol,Dealer,Manual,1
1271,Maruti Ignis,2018,101000,2261107.0,12000,Petrol,Individual,Manual,1
1272,Toyota Etios,2013,16000,2133607.0,40771,Petrol,Dealer,Manual,1
1273,Maruti Celerio,2015,-4000,2103607.0,30500,Petrol,Dealer,Automatic,2
1274,Toyota Etios,2014,31000,2156107.0,42000,Petrol,Dealer,Manual,2
1275,Toyota Corolla,2007,16000,1833607.0,55800,Petrol,Dealer,Manual,2
1276,Renault Duster,2014,351000,2336107.0,66569,Diesel,Dealer,Manual,1
1277,Volkswagen Polo,2014,216000,2133607.0,81358,Diesel,Dealer,Manual,1
1278,Volkswagen Polo,2015,251000,2186107.0,82695,Diesel,Dealer,Manual,1
1279,Ford Figo,2014,86000,1938607.0,68293,Diesel,Dealer,Manual,2
1280,Honda Jazz,2016,381000,2381107.0,32000,Petrol,Dealer,Automatic,1
1281,Maruti Swift,2014,101000,1961107.0,190621,Diesel,Dealer,Manual,1
1282,Hyundai Verna,2018,1001000,3311107.0,60000,Diesel,Individual,Manual,1
1283,Maruti 800,2006,-121000,1628107.0,64700,Petrol,Individual,Manual,1
1284,Maruti 800,2002,-134000,1608607.0,100000,Petrol,Individual,Manual,2
1285,Tata Zest,2016,201000,2111107.0,88470,Diesel,Individual,Manual,1
1286,Hyundai Verna,2016,651000,2786107.0,75000,Diesel,Individual,Manual,1
1287,Volkswagen Vento,2013,251000,2186107.0,120000,Diesel,Individual,Manual,2
1288,Mercedes-Benz E-Class,2012,2301000,5261107.0,35000,Diesel,Individual,Automatic,1
1289,Toyota Etios,2017,581000,2681107.0,70000,Diesel,Individual,Manual,1
1290,Toyota Fortuner,2017,3001000,6311107.0,57000,Diesel,Individual,Automatic,1
1291,Maruti Alto,2020,151000,2036107.0,1000,Petrol,Individual,Manual,1
1292,Mahindra Quanto,2013,86000,1938607.0,120000,Diesel,Individual,Manual,2
1293,Volkswagen Vento,2015,326000,2298607.0,98000,Diesel,Dealer,Manual,1
1294,Maruti Ciaz,2014,351000,2336107.0,90000,Diesel,Dealer,Manual,2
1295,Volkswagen Ameo,2018,381000,2381107.0,70000,Diesel,Individual,Manual,1
1296,Tata Nano,2013,124000,1623607.0,25000,Petrol,Individual,Manual,3
1297,Tata Manza,2009,-14000,1788607.0,60000,Diesel,Individual,Manual,3
1298,Maruti Omni,2007,89000,1676107.0,90000,Petrol,Individual,Manual,3
1299,Honda City,2004,-19000,1781107.0,200000,Petrol,Individual,Manual,2
1300,Volkswagen Polo,2010,151000,2036107.0,110000,Diesel,Individual,Manual,2
1301,Chevrolet Optra,2005,-139000,1601107.0,126000,Petrol,Individual,Manual,2
1302,Mahindra TUV,2018,496000,2553607.0,70000,Diesel,Individual,Manual,1
1303,Mahindra Alturas,2019,2501000,5561107.0,5000,Diesel,Individual,Automatic,1
1304,Maruti Zen,2007,-64000,1713607.0,74183,Petrol,Individual,Manual,2
1305,Mahindra Bolero,2015,441000,2471107.0,70000,Diesel,Individual,Manual,2
1306,Maruti Alto,2014,-39000,1751107.0,90000,Petrol,Individual,Manual,1
1307,Tata Indica,2004,-119000,1631107.0,46000,Petrol,Individual,Manual,2
1308,Maruti Swift,2013,141000,2021107.0,110000,Diesel,Individual,Manual,2
1309,Maruti Ritz,2012,-89000,1676107.0,80000,Diesel,Individual,Manual,2
1310,Tata Sumo,2013,51000,1886107.0,90000,Diesel,Individual,Manual,2
1311,Toyota Innova,2017,1101000,3461107.0,70000,Diesel,Individual,Manual,1
1312,Mahindra Quanto,2014,51000,1886107.0,1,Diesel,Individual,Manual,2
1313,Toyota Innova,2009,251000,2186107.0,192000,Diesel,Individual,Manual,1
1314,Maruti Wagon,2013,41000,1871107.0,70000,Petrol,Individual,Manual,3
1315,Mahindra Bolero,2007,26000,1848607.0,120000,Diesel,Individual,Manual,2
1316,Maruti Wagon,2015,76000,1923607.0,60000,Petrol,Individual,Manual,2
1317,Tata Sumo,2012,121000,1991107.0,120000,Diesel,Individual,Manual,2
1318,Maruti Alto,2008,-124000,1623607.0,120000,Petrol,Individual,Manual,1
1319,Tata Indica,2007,-114000,1638607.0,50000,Petrol,Individual,Manual,2
1320,Tata Indica,2009,-109000,1646107.0,120000,Diesel,Individual,Manual,1
1321,Maruti Wagon,2007,-114000,1638607.0,80000,Petrol,Individual,Manual,2
1322,Mahindra Scorpio,2008,151000,2036107.0,80000,Diesel,Individual,Manual,2
1323,Skoda Superb,2009,156000,2043607.0,100000,Diesel,Individual,Automatic,2
1324,Maruti Swift,2020,420000,2439607.0,1500,Petrol,Individual,Manual,1
1325,Jeep Compass,2018,1501000,4061107.0,50000,Diesel,Individual,Manual,1
1326,Tata Indica,2006,-144000,1593607.0,100000,Diesel,Individual,Manual,2
1327,Ford Fiesta,2006,-104000,1653607.0,83411,Petrol,Individual,Manual,1
1328,Volkswagen Vento,2011,101000,1961107.0,120000,Diesel,Individual,Manual,2
1329,Ford Fiesta,2006,-118000,1632607.0,83411,Petrol,Individual,Manual,1
1330,Skoda Superb,2015,801000,3011107.0,80000,Diesel,Individual,Automatic,2
1331,Maruti Ertiga,2019,726000,2898607.0,50000,Diesel,Individual,Manual,1
1332,Mahindra Bolero,2015,251000,2186107.0,40000,Diesel,Individual,Manual,1
1333,Mahindra Scorpio,2014,401000,2411107.0,13270,Diesel,Individual,Manual,1
1334,Hyundai Santro,2006,114000,1638607.0,100000,Petrol,Individual,Automatic,3
1335,Mahindra Thar,2016,501000,2561107.0,50000,Diesel,Individual,Manual,1
1336,Hyundai Grand,2017,287000,2240107.0,26500,Petrol,Individual,Manual,1
1337,Maruti Swift,2013,201000,2111107.0,90000,Diesel,Individual,Manual,1
1338,Ford Fiesta,2008,79000,1691107.0,100000,Petrol,Individual,Manual,3
1339,Maruti Alto,2018,76000,1923607.0,35000,Petrol,Individual,Manual,1
1340,Hyundai i20,2016,381000,2381107.0,57000,Diesel,Individual,Manual,1
1341,Maruti Swift,2015,176000,2073607.0,70000,Petrol,Individual,Manual,1
1342,Maruti Wagon,2015,30999,1856105.5,100000,Petrol,Individual,Manual,3
1343,Maruti Alto,2010,-89000,1676107.0,88000,Petrol,Individual,Manual,2
1344,Maruti Swift,2017,401000,2411107.0,60000,Diesel,Individual,Manual,1
1345,Maruti A-Star,2009,-79000,1691107.0,76000,Petrol,Individual,Manual,2
1346,Ford Figo,2010,1000,1811107.0,100000,Diesel,Individual,Manual,2
1347,Hyundai Verna,2012,251000,2186107.0,110000,Diesel,Individual,Manual,2
1348,Hyundai Verna,2012,351000,2336107.0,80000,Diesel,Individual,Manual,2
1349,Maruti Alto,2012,21000,1841107.0,80000,Petrol,Individual,Manual,2
1350,Maruti 800,2001,-159000,1571107.0,30000,Petrol,Individual,Manual,1
1351,Renault KWID,2017,101000,1961107.0,20000,Petrol,Individual,Automatic,1
1352,Mahindra Bolero,2018,431000,2456107.0,40000,Diesel,Individual,Manual,1
1353,Maruti Swift,2017,411000,2426107.0,40000,Diesel,Individual,Manual,2
1354,Hyundai Xcent,2019,461000,2501107.0,7000,Petrol,Individual,Manual,2
1355,Maruti Wagon,2012,21000,1841107.0,80000,CNG,Individual,Manual,2
1356,Nissan Micra,2011,-61000,1718107.0,90000,Diesel,Individual,Manual,2
1357,Nissan Micra,2013,11000,1826107.0,13770,Diesel,Individual,Manual,1
1358,Maruti Zen,2005,-74000,1698607.0,34000,Petrol,Dealer,Manual,1
1359,Maruti Alto,2008,-74000,1698607.0,102000,Petrol,Dealer,Manual,1
1360,Honda City,2014,526000,2598607.0,110000,Diesel,Individual,Manual,1
1361,Maruti Alto,2011,-29000,1766107.0,90000,Petrol,Individual,Manual,2
1362,Toyota Innova,2015,1001000,3311107.0,70000,Diesel,Individual,Manual,3
1363,Maruti Wagon,2003,-129000,1616107.0,90000,Petrol,Individual,Manual,2
1364,Maruti Alto,2007,-99000,1661107.0,70000,Petrol,Individual,Manual,2
1365,Honda Civic,2006,101000,1961107.0,80000,Petrol,Individual,Manual,2
1366,Maruti Swift,2013,251000,2186107.0,100000,Diesel,Individual,Manual,2
1367,Maruti Swift,2015,331000,2306107.0,100000,Diesel,Individual,Manual,1
1368,Maruti Zen,2007,99000,1661107.0,143000,Petrol,Individual,Manual,3
1369,Honda City,2010,151000,2036107.0,115000,Petrol,Individual,Manual,2
1370,Tata Manza,2011,-34000,1758607.0,100000,Diesel,Individual,Manual,2
1371,Maruti Swift,2019,276000,2223607.0,120000,Diesel,Individual,Manual,2
1372,Mahindra Xylo,2013,151000,2036107.0,42000,Diesel,Individual,Manual,1
1373,Renault KWID,2016,30999,1856105.5,38000,Petrol,Individual,Manual,1
1374,Honda WR-V,2018,601000,2711107.0,35000,Diesel,Individual,Manual,1
1375,Maruti Swift,2014,276000,2223607.0,120000,Diesel,Individual,Manual,2
